Molecule name,class,dataset,SlogP,SMR,LabuteASA,TPSA,AMW,ExactMW,NumLipinskiHBA,NumLipinskiHBD,NumRotatableBonds,NumHBD,NumHBA,NumAmideBonds,NumHeteroAtoms,NumHeavyAtoms,NumAtoms,NumRings,NumAromaticRings,NumSaturatedRings,NumAliphaticRings,NumAromaticHeterocycles,NumSaturatedHeterocycles,NumAliphaticHeterocycles,NumAromaticCarbocycles,NumSaturatedCarbocycles,NumAliphaticCarbocycles,FractionCSP3
Row785,0,test,3.7181,66.6768,96.37755742,20.23,212.292,212.1201151,1,1,2,1,1,0,1,16,32,2,2,0,0,0,0,0,2,0,0,0.2
Row786,0,test,0.9433,26.4948,38.30365021,20.23,86.134,86.07316494,1,1,1,1,1,0,1,6,16,0,0,0,0,0,0,0,0,0,0,0.6
Row787,0,test,5.7605,102.946,155.196039,35.53,350.458,350.1881947,3,0,6,0,3,0,3,26,52,3,2,1,1,0,0,0,2,1,1,0.347826087
Row788,0,test,3.2081,61.5661,106.1170799,72.24,276.214,276.0721769,5,1,3,1,3,1,8,19,30,1,1,0,0,0,0,0,1,0,0,0.363636364
Row789,1,test,5.2767,88.7064,121.7778744,24.06,268.404,268.1939488,2,2,6,2,2,0,2,20,44,2,2,0,0,0,0,0,2,0,0,0.333333333
Row790,0,test,0.6347,21.9238,32.62831112,20.23,74.123,74.07316494,1,1,1,1,1,0,1,5,15,0,0,0,0,0,0,0,0,0,0,1
Row791,0,test,3.5164,79.428,138.4233054,55.32,363.336,363.0664605,5,0,5,0,5,1,10,24,37,2,2,0,0,1,0,0,1,0,0,0.357142857
Row792,1,test,2.88,79.7177,131.140795,69.72,330.171,329.0333966,6,1,2,1,3,5,8,21,34,2,1,1,1,0,1,1,1,0,0,0.307692308
Row793,1,test,4.217,86.584,138.3367422,57.26,345.226,344.0694478,5,0,3,0,5,0,7,22,40,2,2,0,0,1,0,0,1,0,0,0.466666667
Row794,0,test,5.6026,93.7618,134.1750607,37.3,300.442,300.2089301,2,1,5,1,1,0,2,22,50,1,0,0,1,0,0,0,0,0,1,0.45
